127.0.0.1 - - [19/Jan/2020:20:30:49 +0900] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:30:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 2564
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:50:40 +0900] "GET /BBS/view.jsp?bbsID=asdsa HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:50:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:32 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:45 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:55:48 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:01 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:03 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:09 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3006
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:10 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:17 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:57:17 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3176
